,ra,dec
77,309.41727599999996,-56.746611
78,312.57826800000004,-63.825053000000004
79,16.933439,-32.856275
80,328.960604,-0.7819520000000001
81,29.890042,-7.139373
82,4.672768,-27.932487
83,56.415589000000004,-46.292109
84,70.22317699999999,-38.379963000000004
85,16.907428,-33.277752
86,88.140233,-22.39871
87,84.389067,-22.274481
88,47.367773,-18.203615
89,325.410982,-46.849787
90,304.766023,-52.915449
91,39.006190999999994,-2.447032
92,13.713285,-36.199794
93,342.34261000000004,0.22707199999999997
94,48.715196,-25.336637
95,330.561062,-53.469752
96,70.84388,-53.828947
97,78.369439,-30.482402
98,86.54633299999998,-53.137278
99,327.76340600000003,-0.9524360000000001
100,308.93695299999996,-51.874175
101,89.64422499999998,-36.245583
102,51.711462,-59.483942000000006
103,319.597437,-55.794518000000004
104,333.282709,-1.255321
105,36.300437,-40.413575
106,54.913574,-20.402003
107,85.480498,-25.733693
108,51.563611,-51.227716
109,82.728747,-44.653268
110,2.380591,-56.503159
111,30.268008000000002,-30.204663
112,81.699986,-62.003496
113,358.280235,-47.634078
114,16.175508999999998,-49.787294
115,307.144878,-63.826267
116,12.265311,-63.97920500000001
117,301.31438199999997,-57.612691000000005
118,336.19395699999995,-57.384218000000004
119,9.955632000000001,-39.678503000000006
120,3.902354,0.028807999999999997
121,336.204671,-62.297143000000005
122,42.041885,-1.503152
123,335.108606,-44.684641
124,41.184875,-18.414427
125,39.797253000000005,-30.612105
126,47.358089,-14.233665
127,329.08263700000003,-1.164538
128,15.569454,5.2550099999999995
129,52.277791,-40.054334000000004
130,313.871098,-44.703161
131,62.655221,-45.055459
132,21.960403,-35.753686
133,3.882246,-32.188935
134,32.470388,-9.079322
135,308.762814,-45.621004
136,315.022013,-52.633829000000006
137,46.605965999999995,-25.544014999999998
138,59.305634999999995,-18.824516
139,72.710083,-62.799264
140,41.190431,-6.7889289999999995
141,4.520707,-56.537066
142,349.252082,-57.011756000000005
143,79.73248799999998,-62.399486
144,29.99918,3.352956
145,60.352574,-64.987844
146,74.79526700000001,-56.492543000000005
147,19.513082999999998,-18.329304
148,4.2745039999999985,-33.807867
149,18.868756,-46.544363
150,71.82363099999998,-60.549873
151,12.856162,-40.322543
152,304.448392,-50.27565
153,0.838775,-54.166875
154,76.548519,-37.357167
155,308.469546,-45.140265
156,52.096090000000004,-54.772278
157,355.093116,-51.296543
158,86.055655,-42.550897
159,29.385815,-9.491984
160,43.441173,-53.043461
161,46.877317,-53.209861
162,19.415766,-6.693622
163,306.968434,-62.107225
164,32.465705,3.8967300000000002
165,37.732301,-7.76297
166,89.758043,-56.056878000000005
167,83.05426299999998,-56.371733
168,85.755207,-41.277382
169,77.152135,-29.272240999999998
170,358.272895,-1.773826
171,3.2687209999999998,2.905744
172,57.744496,-25.929616
173,17.285726999999998,-5.257743
174,86.02676,-33.666185999999996
175,7.743638000000001,-34.897406
176,65.886317,-41.741607
177,344.563606,0.127138
178,81.337311,-18.858893
179,10.750123,-61.17108100000001
180,314.952594,-47.25265
181,10.729899000000001,-61.495932999999994
182,353.507946,-0.9023180000000001
183,20.767774,2.680575
184,57.067395,-45.559251
185,36.883774,-14.380657000000001
186,79.786429,-32.216303
187,74.494794,-27.331234000000002
188,70.883667,-39.324844
189,356.496578,-0.971002
190,314.47637599999996,-42.153143
191,54.607261,-38.181809
192,22.728514,-43.491843
193,46.717985999999996,-16.053607999999997
194,51.044547,-41.016791
195,323.600208,1.738357
196,45.234503000000004,-11.986198
197,70.553911,-27.773573
198,77.65735600000001,-37.376527
199,26.782844,-49.71947
200,55.332955000000005,-43.478674
201,78.328007,-24.149347
202,309.462656,-61.995155000000004
203,334.99733100000003,-54.201874
204,17.111176,-15.36814
205,37.799704,-33.433462
206,49.721399,-55.99520699999999
207,22.551059,-47.869562
208,60.145332999999994,-47.262142
209,73.832144,-48.592204
210,350.011551,-61.233874
211,53.768053,-30.940735999999998
212,6.06088,-53.24979200000001
213,65.521338,-51.555226
214,21.556649,-1.59709
215,358.454644,-41.422233
216,22.843082,-56.059052
217,344.051607,-41.131116
218,48.345144,-38.409756
219,56.495808,-44.398471
220,34.558074999999995,-40.585494
221,49.910601,-37.511476
222,71.99212299999998,-20.301393
223,342.058984,-59.948111
224,24.830398000000002,-19.810157999999998
225,329.855114,-1.081083
226,56.82736800000001,-26.720771000000003
227,332.749198,1.932732
228,31.238667,-45.373232
229,44.969483000000004,-40.260966
230,54.34828,-30.054284999999997
231,57.857948,-23.961368
232,87.649611,-34.79393
233,52.013068,-60.985748
234,349.601181,-43.546665999999995
235,359.87940299999997,-42.941364
236,54.161613,-54.161968
237,14.267026000000001,-36.582208
238,2.469816,-0.355116
239,19.509508,-30.188743
240,11.705328999999999,-46.59211
241,81.43634300000001,-29.570705
242,48.977271,-26.094617
243,45.204615999999994,-10.834166
244,345.77915,-47.701733000000004
245,44.702143,-7.780930000000001
246,54.068594999999995,-39.832987
247,50.347656,-20.591615
248,40.627633,-0.036387
249,88.014944,-30.049856
250,321.278141,-47.412538
251,27.924653999999997,-2.936519
252,300.16011000000003,-55.322959
253,57.122363,-66.245188
254,320.23746800000004,-47.129567
255,32.804324,-13.395264000000001
256,316.52223599999996,-47.665009999999995
257,17.816835,-4.725464
258,311.871655,-52.793453
259,317.428914,-59.196212
260,15.259299,-43.971386
261,34.955995,-64.259247
262,307.89451099999997,-43.250358
263,39.387503,-6.050351999999999
264,311.052733,-54.265586
265,82.05971799999998,-26.277329
266,59.478601,-18.470638
267,46.272779,-14.575753
268,41.600882,-3.629622
269,76.55680100000001,-50.884935
270,311.793364,-61.27075
271,61.575340000000004,-45.187532
272,71.985095,-20.298858
273,350.01525899999996,-41.824271
274,43.003233,-43.192614
275,46.569531,-9.579372
276,31.860899,4.845611
277,342.025415,0.650037
278,62.898826,-48.637772
279,73.349862,-17.684545
280,55.32530500000001,-15.334773
281,64.702344,-29.016649
282,334.405851,-53.769431000000004
283,40.598855,-11.812064999999999
284,337.502523,0.250171
285,325.774268,0.889135
286,11.290207,-3.431166
287,321.809745,-40.273218
288,25.682422,-11.242782
289,37.979736,-64.59901099999999
290,354.338267,-47.217039
291,49.146314000000004,-53.448338
292,37.9757,-36.69576
293,82.626463,-24.875307
