ra,dec,mu_0,m_tot,r_e,n,ell,g-i,g-r,A_g,A_r,A_i
337.358529832,2.03744759842,27.3503426121,22.5709244688,4.1192928,0.0509023,0.234458,0.312797962536,0.505912063162,0.260479453918,0.18458349178,0.131730252754
337.357837126,2.03908863377,27.6291185425,21.75881957,8.9735688,0.0751374,0.559074,0.07201020676,0.446909308644,0.260813208722,0.184820000366,0.131899039982
337.353813583,2.04184873391,26.6325031487,22.6693507378,2.7623568,0.40739,0.0,0.385053938041,0.261486569543,0.260850513493,0.184846435636,0.131917905834
337.350140259,2.04963213915,26.6686529946,21.4234974831,5.666304,0.464212,0.174708,0.236321643782,0.352488979195,0.261454820389,0.185274665484,0.132223517271
337.312879389,2.07105212879,26.7664724459,21.2730531932,5.340972,0.316918,0.0,0.09054201938,0.419361782849,0.262530523048,0.186036940397,0.132767524028
337.310728074,2.09515060203,25.7039424691,22.0912266246,4.3695624,0.965072,0.380166,0.313552560114,0.071007029146,0.264711912244,0.18758273769,0.133870701058
339.109794651,1.75244820495,19.1546647432,23.1701330442,3.0697632,4.48422,0.381378,0.351156387218,0.346933338814,0.223289820585,0.158229810999,0.112922628103
337.220343153,2.26962519725,24.2886375524,22.9934301484,2.7918408,1.87007,0.188247,0.518128135077,0.289002814772,0.278836109392,0.197591564064,0.141013621669
339.194123532,2.08345881912,27.3993585767,21.4538032647,7.7899416,0.0519994,0.373378,0.26832919988,0.3768843751,0.238214524115,0.168805900015,0.120470382595
339.193333173,2.08423571747,26.4484110716,21.3284859323,5.4221664,0.623552,0.0181827,0.271920379936,0.498401828066,0.23830256033,0.168868285096,0.120514904466
339.18392661,2.08600003649,26.6039937593,22.0206433907,7.4613336,0.676843,0.659879,0.548490286236,0.423141593867,0.23868854209,0.169141803257,0.120710104026
339.184751582,2.09330624284,25.9175114994,21.6235190537,7.40754,0.819783,0.675655,0.427957189472,0.248893742404,0.239024215224,0.169379671228,0.120879861396
339.187377898,2.1106034397,26.6800409772,20.571216292,10.5510384,0.498709,0.450542,0.366994469139,0.473343057411,0.239787473987,0.169920539098,0.121265858326
